Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
7974;Jurassic: The Hunted;PS3;2009;Shooter;Activision;0.17;0;0;0.02;0.19
7976;Harry Potter: Quidditch World Cup;XB;2003;Sports;Electronic Arts;0.14;0.04;0;0.01;0.19
7980;Tekken Tag Tournament 2;WiiU;2012;Fighting;Namco Bandai Games;0.09;0.07;0.01;0.01;0.19
7981;Hot Wheels: Battle Force 5;Wii;2009;Racing;Activision;0.17;0;0;0.01;0.19
7982;Dragon Blade: Wrath of Fire;Wii;2007;Action;D3Publisher;0.17;0;0;0.01;0.19
7983;La Pucelle: Tactics;PS2;2002;Role-Playing;Tecmo Koei;0.09;0.07;0;0.02;0.19
7986;Samurai Warriors: State of War;PSP;2005;Action;Tecmo Koei;0.07;0;0.11;0.01;0.19
7987;Tiger Woods PGA Tour 07;XB;2006;Sports;Electronic Arts;0.13;0.05;0;0.01;0.19
7988;Call of Juarez;X360;2007;Shooter;Ubisoft;0.14;0.02;0;0.01;0.19
7990;The Bee Game;DS;2007;Adventure;Midway Games;0.17;0;0;0.01;0.19
7991;EverQuest Online Adventures: Frontiers;PS2;2003;Role-Playing;Sony Online Entertainment;0.09;0.07;0;0.02;0.19
7993;NBA Ballers: Chosen One;X360;2008;Sports;Midway Games;0.17;0;0;0.01;0.19
7994;WWE All Stars;PSP;2011;Fighting;THQ;0.12;0.04;0;0.03;0.19
7995;Treasures of the Deep;PS;1997;Action;Namco Bandai Games;0.1;0.07;0;0.01;0.19
7998;The Lord of the Rings: War in the North;PC;2011;Action;Warner Bros. Interactive Entertainment;0.04;0.11;0;0.03;0.18
7999;Major League Baseball 2K10;PS3;2010;Sports;Take-Two Interactive;0.17;0;0;0.01;0.18
8000;Fight Club;PS2;2004;Fighting;Vivendi Games;0.09;0.07;0;0.02;0.18
8002;Syndicate;X360;2012;Shooter;Electronic Arts;0.1;0.06;0;0.02;0.18
8003;Dance Dance Revolution: Disney Grooves;Wii;2009;Simulation;Konami Digital Entertainment;0.17;0;0;0.01;0.18
8004;Pure Futbol;X360;2010;Sports;Ubisoft;0.08;0.09;0;0.02;0.18
8006;Sports Illustrated for Kids: Football;GBA;2003;Sports;BAM! Entertainment;0.13;0.05;0;0;0.18
8008;Happy Cooking;DS;2006;Simulation;Ubisoft;0.17;0;0;0.01;0.18
8010;Close Combat: First to Fight;XB;2005;Shooter;Take-Two Interactive;0.14;0.04;0;0.01;0.18
8012;Indiana Jones and the Emperor's Tomb;XB;2003;Action;LucasArts;0.14;0.04;0;0.01;0.18
8013;NBA Live 08;Wii;2007;Sports;Electronic Arts;0.17;0;0;0.02;0.18
8014;Buffy the Vampire Slayer: Chaos Bleeds;PS2;2003;Action;Vivendi Games;0.09;0.07;0;0.02;0.18
8015;Half-Minute Hero;PSP;2009;Role-Playing;Rising Star Games;0.08;0.02;0.07;0.02;0.18
8017;Reel Fishing II;PS;2000;Sports;Victor Interactive;0.1;0.07;0;0.01;0.18
8020;Ty the Tasmanian Tiger;XB;2002;Platform;Electronic Arts;0.14;0.04;0;0.01;0.18
8021;Dead or Alive;SAT;1997;Fighting;Tecmo Koei;0;0;0.18;0;0.18
8022;Driving Emotion Type-S;PS2;2000;Racing;Electronic Arts;0.04;0.03;0.11;0.01;0.18
8023;Siren;PS2;2003;Adventure;Sony Computer Entertainment;0.09;0.07;0;0.02;0.18
8024;The Chronicles of Narnia: The Lion, The Witch and The Wardrobe;DS;2005;Action;Disney Interactive Studios;0.15;0.02;0;0.01;0.18
8025;NARC;XB;2005;Shooter;Midway Games;0.14;0.04;0;0.01;0.18
8026;Naruto Shippuden: Dragon Blade Chronicles;Wii;2009;Action;505 Games;0.11;0.02;0.05;0.01;0.18
8029;Evolve;PC;2015;Shooter;Take-Two Interactive;0.07;0.1;0;0.01;0.18
8031;Ar tonelico 2: Melody of Metafalica;PS2;2007;Role-Playing;Nippon Ichi Software;0.04;0.03;0.11;0.01;0.18
8032;de Blob 2;Wii;2011;Platform;THQ;0.11;0.06;0;0.02;0.18
8033;Lips: Party Classics;X360;2010;Misc;Microsoft Game Studios;0.05;0.11;0;0.02;0.18
8035;Borderlands;PC;2009;Shooter;Take-Two Interactive;0.01;0.14;0;0.04;0.18
8037;Chaotic: Shadow Warriors;DS;2009;Action;Activision;0.17;0;0;0.01;0.18
8038;Ghostbusters: The Video Game;PSP;2009;Action;Atari;0.16;0.01;0;0.02;0.18
8040;Amplitude;PS2;2003;Misc;Sony Computer Entertainment;0.09;0.07;0;0.02;0.18
8041;Alone in the Dark;Wii;2008;Adventure;Atari;0.09;0.08;0;0.02;0.18
8044;Gauntlet: Seven Sorrows;XB;2005;Role-Playing;Midway Games;0.14;0.04;0;0.01;0.18
8045;AirForce Delta Storm;XB;2001;Shooter;Konami Digital Entertainment;0.14;0.04;0;0.01;0.18
8046;Trauma Team;Wii;N/A;Simulation;Unknown;0.15;0;0.02;0.01;0.18
8047;Monopoly Party;XB;2002;Misc;Infogrames;0.14;0.04;0;0.01;0.18
8048;Fear Effect 2: Retro Helix;PS;2001;Action;Eidos Interactive;0.1;0.07;0;0.01;0.18
8049;How to Train Your Dragon;PS3;2010;Action;Activision;0.12;0.04;0;0.02;0.18
8050;Remember Me;X360;2013;Action;Capcom;0.1;0.07;0;0.02;0.18
8053;Klonoa: Door to Phantomile;PS;1997;Platform;Sony Computer Entertainment;0;0;0.17;0.01;0.18
8054;Vietcong: Purple Haze;PS2;2004;Shooter;Gathering of Developers;0.09;0.07;0;0.02;0.18
8056;Atari Anniversary Advance;GBA;2002;Misc;Atari;0.13;0.05;0;0;0.18
8057;Summer Athletics: The Ultimate Challenge;PS2;2008;Sports;DTP Entertainment;0;0;0;0.18;0.18
8058;Driver: San Francisco;PC;2011;Racing;Ubisoft;0.05;0.1;0;0.03;0.18
8062;X-Men Origins: Wolverine;PS2;2009;Action;Activision;0.13;0;0;0.05;0.18
8065;LEGO Marvel's Avengers;3DS;2016;Action;Warner Bros. Interactive Entertainment;0.07;0.08;0.01;0.01;0.18
8066;Bloody Roar: Primal Fury;GC;2002;Fighting;Activision;0.14;0.04;0;0;0.18
8067;Shrek SuperSlam;DS;2005;Action;Activision;0.17;0;0;0.01;0.18
8070;The Chronicles of Narnia: Prince Caspian;X360;2008;Action;Disney Interactive Studios;0.16;0.01;0;0.01;0.18
8075;FIFA Soccer 07;GC;2006;Sports;Electronic Arts;0.14;0.04;0;0;0.18
8077;Dying Light;PC;2015;Action;Warner Bros. Interactive Entertainment;0.11;0.06;0;0.02;0.18
8081;Six Flags Fun Park;DS;2008;Misc;Brash Entertainment;0.17;0;0;0.01;0.18
8088;Backbreaker;X360;N/A;Sports;Unknown;0.17;0;0;0.01;0.18
8090;Bad Boys: Miami Takedown;XB;2004;Shooter;Empire Interactive;0.14;0.04;0;0.01;0.18
8092;Spider-Man: Friend or Foe;PSP;2007;Action;Activision;0.16;0;0;0.01;0.18
8093;Mega Man X: Command Mission;PS2;2004;Role-Playing;Capcom;0.09;0.07;0;0.02;0.18
8094;Tokyo Xtreme Racer DRIFT;PS2;2003;Racing;Genki;0.09;0.07;0;0.02;0.18
8095;Moon;PS;1997;Adventure;ASCII Entertainment;0;0;0.17;0.01;0.18
8096;FIFA Soccer 11;PC;2010;Sports;Electronic Arts;0;0.14;0;0.04;0.18
8097;LEGO Marvel Super Heroes;PC;2013;Action;Warner Bros. Interactive Entertainment;0.04;0.12;0;0.02;0.18
8099;Disney Friends;DS;2007;Simulation;Disney Interactive Studios;0.13;0.04;0;0.01;0.18
8101;Re-Volt;N64;1999;Racing;Acclaim Entertainment;0.14;0.04;0;0;0.18
8103;Hyperdimension Neptunia;PSV;2013;Role-Playing;Compile Heart;0.09;0;0.07;0.02;0.18
8104;Gauntlet: Dark Legacy;GC;2002;Action;Midway Games;0.14;0.04;0;0;0.18
8106;Guitar Hero Live;WiiU;2015;Misc;Activision;0.12;0.04;0;0.02;0.18
8107;Shadow The Hedgehog;XB;2005;Platform;Sega;0.13;0.04;0;0.01;0.18
8109;Burnout Legends;DS;2005;Racing;Electronic Arts;0.15;0.02;0;0.01;0.18
8112;Full Auto 2: Battlelines;PS3;2006;Racing;Sega;0.14;0.02;0;0.02;0.18
8114;The Adventures of Cookie & Cream;PS2;2000;Puzzle;Empire Interactive;0.09;0.07;0;0.02;0.18
8115;Van Helsing;XB;2007;Action;Activision;0.13;0.04;0;0.01;0.18
8116;Aliens: Colonial Marines;PC;2013;Shooter;Sega;0.1;0.06;0;0.02;0.18
8117;Splatterhouse;X360;2010;Action;Namco Bandai Games;0.14;0.03;0;0.01;0.18
8118;MindJack;PS3;2011;Shooter;Square Enix;0.07;0.08;0;0.03;0.18
8119;Dark Souls II;PC;2014;Role-Playing;Namco Bandai Games;0.08;0.08;0;0.02;0.18
8121;Gun;GC;2005;Shooter;Activision;0.14;0.04;0;0;0.18
8122;World of Outlaws: Sprint Cars;X360;2010;Racing;THQ;0.17;0;0;0.01;0.18
8127;Transformers: Dark of the Moon;Wii;2011;Action;Activision;0.1;0.07;0;0.02;0.18
8128;Shadow Madness;PS;1999;Action;Crave Entertainment;0.1;0.07;0;0.01;0.18
8129;Tom Clancy's Ghost Recon: Future Soldier;PC;2012;Shooter;Ubisoft;0.05;0.1;0;0.03;0.18
8130;Tiger Woods PGA Tour 2004;GBA;2003;Sports;Electronic Arts;0.13;0.05;0;0;0.18
8131;Aliens: Infestation;DS;2011;Action;Sega;0.1;0.06;0;0.02;0.18
8132;Brink;PC;2011;Shooter;Bethesda Softworks;0.06;0.09;0;0.03;0.18
8134;American Chopper 2: Full Throttle;PS2;2005;Racing;Zoo Digital Publishing;0.09;0.07;0;0.02;0.18
8135;Dynasty Warriors: Gundam 3;X360;2010;Action;Tecmo Koei;0.11;0.04;0.02;0.01;0.18
8136;FIFA 16;PC;2015;Sports;Electronic Arts;0.04;0.13;0;0.01;0.18
8137;Silent Hill 4: The Room;XB;2004;Action;Konami Digital Entertainment;0.14;0.04;0;0.01;0.18
8139;Commandos 2: Men of Courage;PS2;2002;Strategy;Eidos Interactive;0.09;0.07;0;0.02;0.18
8142;Pro Evolution Soccer 2013;3DS;2012;Sports;Konami Digital Entertainment;0.05;0.02;0.1;0.01;0.18
8143;Pirates: Hunt For Blackbeard's Booty;Wii;2008;Adventure;Activision;0.08;0.08;0;0.02;0.18
8144;FIFA Soccer 2002;GC;2001;Sports;Electronic Arts;0.14;0.04;0;0;0.18
8146;Race Pro;X360;2009;Racing;Atari;0.06;0.09;0;0.02;0.18
8148;Toukiden: The Age of Demons;PSP;2013;Action;Tecmo Koei;0;0;0.18;0;0.18
8149;Fireblade;PS2;2002;Action;Midway Games;0.09;0.07;0;0.02;0.18
8150;Mercury Meltdown Revolution;Wii;2007;Action;Ignition Entertainment;0.16;0;0;0.01;0.18
8152;WordJong Party;Wii;2008;Puzzle;Destineer;0.17;0;0;0.01;0.18
8153;Brunswick Circuit Pro Bowling;PS;1998;Sports;THQ;0.1;0.07;0;0.01;0.18
8154;Cabela's Dangerous Hunts 2009;PS2;2008;Sports;Activision Value;0.09;0.07;0;0.02;0.18
8155;Velvet Assassin;X360;2009;Shooter;DTP Entertainment;0.14;0.02;0.01;0.01;0.18
8156;Ball Breakers;PS;2000;Action;Take-Two Interactive;0.1;0.07;0;0.01;0.18
8158;EyeToy: Groove;PS2;2003;Misc;Sony Computer Entertainment;0.09;0.07;0;0.02;0.18
8159;Twisted Metal: Small Brawl;PS;N/A;Action;Unknown;0.1;0.07;0;0.01;0.18
8160;Disgaea 4: A Promise Unforgotten;PSV;2014;Role-Playing;Nippon Ichi Software;0.04;0.04;0.08;0.02;0.18
8161;Charlie and the Chocolate Factory;GC;2005;Adventure;Global Star;0.14;0.04;0;0;0.18
8162;Armored Core: Last Raven;PS2;2005;Simulation;505 Games;0.05;0.04;0.08;0.01;0.18
8165;College Hoops 2K7;PS3;2007;Sports;Take-Two Interactive;0.16;0;0;0.01;0.18
8166;K-1 World Grand Prix;PS2;2002;Sports;Konami Digital Entertainment;0.04;0.03;0.1;0.01;0.18
8169;Otomedius Excellent;X360;N/A;Shooter;Unknown;0.13;0;0.04;0.01;0.18
8171;Juiced;XB;2005;Racing;THQ;0.13;0.04;0;0.01;0.18
8172;Looney Tunes: Back in Action;GBA;2003;Platform;Electronic Arts;0.13;0.05;0;0;0.18
8173;Virtua Tennis;GBA;2002;Sports;Atari;0.13;0.05;0;0;0.18
8177;Sonic Riders: Zero Gravity;PS2;2008;Racing;Sega;0.09;0.07;0;0.02;0.18
8178;Driver: San Francisco;Wii;2011;Racing;Ubisoft;0.06;0.09;0;0.02;0.18
8181;NBA Hoopz;PS2;2001;Sports;Midway Games;0.09;0.07;0;0.02;0.18
8182;Captain America: Super Soldier;X360;2011;Action;Sega;0.11;0.05;0;0.01;0.18
8184;Pac-Man World 3;DS;2005;Platform;Namco Bandai Games;0.16;0;0;0.01;0.18
8185;ESPN X Games Skateboarding;GBA;2001;Sports;Konami Digital Entertainment;0.13;0.05;0;0;0.18
8189;Speedball 2100;PS;2000;Sports;Empire Interactive;0.1;0.07;0;0.01;0.18
8190;LEGO Island 2: The Brickster's Revenge;PS;2001;Adventure;LEGO Media;0.1;0.07;0;0.01;0.18
8191;College Hoops 2K8;X360;2007;Sports;Take-Two Interactive;0.16;0;0;0.01;0.18
8192;FIFA 17;X360;2016;Sports;Electronic Arts;0.03;0.13;0;0.01;0.18
8194;Backyard Basketball;GBA;2004;Sports;Atari;0.13;0.05;0;0;0.18
8195;Madden NFL 09;XB;2008;Sports;Electronic Arts;0.13;0.04;0;0.01;0.18
8196;Scooby-Doo! Unmasked;GBA;2005;Platform;THQ;0.13;0.05;0;0;0.18
8199;NHL 2004;XB;2003;Sports;Electronic Arts;0.13;0.04;0;0.01;0.18
8200;Namco Museum: 50th Anniversary;XB;2005;Misc;Namco Bandai Games;0.13;0.04;0;0.01;0.18
8201;You Don't Know Jack;PS3;2011;Misc;THQ;0.16;0;0;0.01;0.18
8203;NFL 2K2;XB;2002;Sports;Sega;0.13;0.04;0;0.01;0.18
8204;My French Coach;DS;2007;Misc;Ubisoft;0.15;0.02;0;0.01;0.18
8206;NBA Starting Five;PS2;N/A;Sports;Unknown;0.09;0.07;0;0.02;0.18
8207;Castlevania Judgment;Wii;2008;Fighting;Konami Digital Entertainment;0.13;0.02;0.01;0.01;0.18
8208;Dead or Alive Paradise;PSP;2010;Misc;Ubisoft Annecy;0.07;0.02;0.07;0.02;0.17
8209;The Suffering: Ties That Bind;PS2;2005;Action;Midway Games;0.09;0.07;0;0.02;0.17
8210;Disney Sing It: Family Hits;PS3;2010;Misc;Disney Interactive Studios;0.11;0.04;0;0.02;0.17
8212;EyeToy: Kinetic;PS2;2005;Sports;Sony Computer Entertainment;0.09;0.07;0;0.02;0.17
8214;Army Men: Sarge's Heroes 2;PS2;2001;Shooter;Midas Interactive Entertainment;0.09;0.07;0;0.02;0.17
8215;Stormrise;PS3;2009;Strategy;Sega;0.13;0.02;0;0.02;0.17
8217;Winning Eleven: Pro Evolution Soccer 2007;DS;2006;Sports;Konami Digital Entertainment;0;0;0.17;0;0.17
8218;Green Lantern: Rise of the Manhunters;PS3;2011;Action;Warner Bros. Interactive Entertainment;0.09;0.05;0;0.03;0.17
8224;SEGA Bass Fishing Duel;PS2;2002;Sports;Sega;0.09;0.07;0;0.02;0.17
8225;Teen Titans;GBA;N/A;Action;Unknown;0.13;0.05;0;0;0.17
8227;Sports Illustrated for Kids: Baseball;GBA;2001;Sports;BAM! Entertainment;0.12;0.05;0;0;0.17
8228;Fairytale Fights;PS3;2009;Action;Playlogic Game Factory;0.11;0.04;0;0.02;0.17
8231;Warriors of Might and Magic;PS2;2001;Adventure;3DO;0.09;0.07;0;0.02;0.17
8232;Open Season;GC;2006;Platform;Ubisoft;0.13;0.03;0;0;0.17
8233;The Chronicles of Narnia: Prince Caspian;PS3;2008;Action;Disney Interactive Studios;0.14;0.02;0;0.02;0.17
8234;Back to the Future: The Game;PS4;2015;Adventure;Telltale Games;0.1;0.04;0;0.03;0.17
8235;Project Spark;XOne;2014;Misc;Microsoft Game Studios;0.11;0.05;0;0.02;0.17
8238;Lost in Blue 3;DS;2007;Adventure;Konami Digital Entertainment;0.09;0.02;0.06;0.01;0.17
8239;World Championship Poker;GBA;2004;Misc;Crave Entertainment;0.12;0.05;0;0;0.17
8241;Rapala Fishing Frenzy 2009;PS3;2008;Sports;Activision;0.16;0;0;0.01;0.17
8242;Major League Baseball 2K6;GC;2006;Sports;Take-Two Interactive;0.13;0.03;0;0;0.17
8243;Major League Baseball 2K9;PS3;2009;Sports;Spike;0.16;0;0;0.01;0.17
8245;Smash Court Tennis Pro Tournament;PS2;2002;Sports;Sony Computer Entertainment;0.08;0.07;0;0.02;0.17
8246;The Cursed Crusade;PS3;2011;Action;DTP Entertainment;0.07;0.07;0.01;0.03;0.17
8248;The Grim Adventures of Billy & Mandy;GC;2006;Action;Midway Games;0.13;0.03;0;0;0.17
8249;NBA Inside Drive 2004;XB;2003;Sports;Microsoft Game Studios;0.13;0.04;0;0.01;0.17
8251;Dungeon Siege III;PC;2011;Role-Playing;Square Enix;0.08;0.08;0;0.02;0.17
8254;Professional Fisherman's Tour: Northern Hemisphere;DS;2007;Sports;505 Games;0.16;0;0;0.01;0.17
8255;Iron Chef America: Supreme Cuisine;Wii;2008;Simulation;Destineer;0.16;0;0;0.01;0.17
8257;Gretzky NHL 2005;PS2;2004;Sports;Sony Computer Entertainment;0.08;0.07;0;0.02;0.17
8258;FaceBreaker;PS3;2008;Fighting;Electronic Arts;0.13;0.03;0;0.02;0.17
8259;Squeeballs Party;DS;2009;Puzzle;Performance Designed Products;0.16;0;0;0.01;0.17
8260;NCAA Football 09 All-Play;Wii;2008;Sports;Electronic Arts;0.16;0;0;0.01;0.17
8262;The Hobbit;GC;2003;Platform;Vivendi Games;0.13;0.03;0;0;0.17
8263;The Secret World;PC;2012;Role-Playing;Funcom;0.07;0.08;0;0.02;0.17
8264;NHL 2K9;X360;2008;Sports;Take-Two Interactive;0.15;0.01;0;0.01;0.17
8265;X-Men: The Official Game;X360;2006;Action;Activision;0.16;0.01;0;0.01;0.17
8266;True Crime: New York City;GC;2005;Action;Activision;0.13;0.03;0;0;0.17
8267;Metal Arms: Glitch in the System;XB;2003;Shooter;Vivendi Games;0.13;0.04;0;0.01;0.17
8268;PlayStation Move Heroes;PS3;2011;Platform;Sony Computer Entertainment;0.08;0.06;0;0.03;0.17
8270;Ice Age: Dawn of the Dinosaurs;PS2;2009;Action;Activision;0.08;0.07;0;0.02;0.17
8271;ESPN Final Round Golf 2002;GBA;2001;Sports;Konami Digital Entertainment;0.12;0.05;0;0;0.17
8272;MDK2 Armageddon;PS2;2001;Shooter;Virgin Interactive;0.08;0.07;0;0.02;0.17
8275;Fight Night Round 2;GC;2005;Fighting;Electronic Arts;0.13;0.03;0;0;0.17
8276;Sudoku Gridmaster;DS;2006;Puzzle;Nintendo;0.13;0.03;0;0.01;0.17
8282;One Piece: Unlimited World Red;PSV;2014;Action;Namco Bandai Games;0.06;0.04;0.04;0.03;0.17
8285;Dementium: The Ward;DS;2007;Shooter;SouthPeak Games;0.15;0.01;0;0.01;0.17
8286;Psi-Ops: The Mindgate Conspiracy;XB;2004;Shooter;Midway Games;0.13;0.04;0;0.01;0.17
8287;SWAT: Global Strike Team;XB;2003;Shooter;Vivendi Games;0.13;0.04;0;0.01;0.17
8290;Goblin Commander: Unleash the Horde;PS2;2003;Strategy;Jaleco;0.08;0.07;0;0.02;0.17
8294;World Destruction League: Thunder Tanks;PS2;2000;Action;3DO;0.08;0.07;0;0.02;0.17
8297;Finding Nemo: Escape to the Big Blue;DS;2006;Action;THQ;0.12;0.04;0;0.01;0.17
8300;The Lord of the Rings: Aragorn's Quest;PS3;2010;Action;Warner Bros. Interactive Entertainment;0.1;0.04;0;0.02;0.17
8301;Top Spin 2;X360;2006;Sports;Take-Two Interactive;0.15;0.01;0;0.01;0.17
8303;The King of Fighters '95;PS;1996;Fighting;Sony Computer Entertainment;0;0;0.16;0.01;0.17
8304;RoadKill;PS2;2003;Action;Midway Games;0.08;0.07;0;0.02;0.17
8309;Looney Tunes: Back in Action;GC;2003;Platform;Warner Bros. Interactive Entertainment;0.13;0.03;0;0;0.17
8310;Tak: The Great Juju Challenge;GBA;2005;Platform;THQ;0.12;0.05;0;0;0.17
8314;Pursuit Force: Extreme Justice;PSP;2007;Action;Sony Computer Entertainment;0.07;0.07;0;0.03;0.17
8315;Backbreaker;PS3;N/A;Sports;Unknown;0.16;0;0;0.01;0.17
8316;Hunter: The Reckoning Redeemer;XB;2003;Action;Interplay;0.13;0.04;0;0.01;0.17
8318;NHL 07;PSP;2006;Sports;Electronic Arts;0.13;0.02;0;0.02;0.17
8319;Pro Evolution Soccer 2014;PSP;2013;Action;Konami Digital Entertainment;0;0.03;0.14;0;0.17
8320;Tokyo Xtreme Racer;DC;1999;Racing;Genki;0;0;0.17;0;0.17
8321;Fighter Maker;PS;1998;Fighting;Agetec;0.05;0.04;0.07;0.01;0.17
8322;Bee Movie Game;X360;2007;Action;Activision;0.16;0;0;0.01;0.17
8324;Professor Heinz Wolff's Gravity;Wii;2008;Puzzle;Deep Silver;0.04;0.12;0;0.02;0.17
8325;Thief: Deadly Shadows;XB;2004;Action;Eidos Interactive;0.13;0.04;0;0.01;0.17
8329;Batman Begins;GBA;2005;Action;Electronic Arts;0.12;0.05;0;0;0.17
8331;Glover;PS;1999;Platform;Atari;0.09;0.06;0;0.01;0.17
8333;Luxor 3;Wii;2008;Puzzle;Mumbo Jumbo;0.16;0;0;0.01;0.17
8334;Bratz Kidz;Wii;2008;Misc;Game Factory;0.16;0;0;0.01;0.17
8335;Fairytale Fights;X360;2009;Action;Playlogic Game Factory;0.14;0.02;0;0.01;0.17
8336;James Cameron's Dark Angel;PS2;N/A;Action;Universal Interactive;0.08;0.07;0;0.02;0.17
8337;MotoGP 09/10;X360;2010;Racing;Capcom;0.07;0.09;0;0.02;0.17
8339;World Driver Championship;N64;1999;Racing;Midway Games;0.14;0.03;0;0;0.17
8341;Turok 3: Shadow of Oblivion;N64;2000;Shooter;Acclaim Entertainment;0.12;0.05;0;0;0.17
8342;Spawn: Armageddon;XB;2003;Action;Electronic Arts;0.13;0.04;0;0.01;0.17
8344;Zoo Hospital;Wii;2008;Simulation;Majesco Entertainment;0.14;0.01;0;0.01;0.17
8346;Time and Eternity;PS3;2012;Role-Playing;Nippon Ichi Software;0.06;0.03;0.06;0.02;0.17
8347;Major League Baseball 2K9;PS2;2009;Sports;Spike;0.08;0.06;0;0.02;0.17
8352;Sid Meier's Civilization IV;PC;2005;Strategy;Take-Two Interactive;0.02;0.12;0;0.03;0.17
8355;Family Feud Decades;Wii;2010;Misc;Ubisoft;0.16;0;0;0.01;0.17
8356;NBA Live 16;PS4;2015;Sports;Electronic Arts;0.1;0.04;0;0.03;0.17
8361;Tak: Mojo Mistake;DS;2008;Action;THQ;0.16;0;0;0.01;0.17
8362;Gallop Racer 2001;PS2;2001;Sports;Tecmo Koei;0.05;0.04;0.06;0.01;0.17
8363;Nightmare Creatures II;PS;2000;Action;Konami Digital Entertainment;0.09;0.06;0;0.01;0.17
8364;Marble Saga: Kororinpa;Wii;2009;Puzzle;Konami Digital Entertainment;0.1;0.06;0;0.02;0.17
8365;Fuzion Frenzy 2;X360;2007;Misc;Microsoft Game Studios;0.14;0.01;0;0.01;0.17
8366;Catwoman;PS2;2004;Action;Electronic Arts;0.08;0.06;0;0.02;0.17
8367;Monsters vs. Aliens;X360;2009;Action;Activision;0.12;0.03;0;0.01;0.17
8369;Garfield: Lasagna World Tour;PS2;2007;Action;Blast! Entertainment Ltd;0.08;0.06;0;0.02;0.17
8372;Bomberman Land;Wii;2007;Misc;Rising Star Games;0.11;0.02;0.03;0.01;0.17
8374;Terminator 3: The Redemption;PS2;2004;Shooter;Atari;0.08;0.06;0;0.02;0.17
8375;World Destruction League: Thunder Tanks;PS;2000;Action;3DO;0.09;0.06;0;0.01;0.17
8376;Beat Down: Fists of Vengeance;PS2;2005;Action;Capcom;0.04;0.03;0.09;0.01;0.17
8380;SSX On Tour;GC;2005;Sports;Electronic Arts;0.13;0.03;0;0;0.17
8381;Hot Wheels: Beat That!;X360;2007;Racing;Activision;0.15;0;0;0.01;0.17
8382;G-Force;X360;2009;Action;Disney Interactive Studios;0.11;0.05;0;0.01;0.17
8383;James Bond 007: Everything or Nothing;GBA;2003;Shooter;Electronic Arts;0.12;0.04;0;0;0.17
8385;Shrek Extra Large;GC;2002;Platform;TDK Mediactive;0.13;0.03;0;0;0.17
8387;World Tour Soccer 2006;PS2;2004;Sports;Sony Computer Entertainment;0.08;0.06;0;0.02;0.17
8388;Gunvalkyrie;XB;2002;Shooter;Infogrames;0.13;0.04;0;0.01;0.17
8390;VR Golf '97;PS;1996;Sports;Gremlin Interactive Ltd;0.09;0.06;0;0.01;0.17
8392;State of Emergency;XB;2003;Action;Take-Two Interactive;0.13;0.04;0;0.01;0.17
8394;Off-World Interceptor Extreme;PS;1995;Racing;Crystal Dynamics;0.09;0.06;0;0.01;0.17
8396;Disney Golf;PS2;2002;Sports;Electronic Arts;0.07;0.06;0.02;0.02;0.17
8398;Custom Robo Arena;DS;2006;Fighting;Nintendo;0.02;0.02;0.12;0;0.17
8400;Batman Beyond: Return of the Joker;PS;2000;Action;Ubisoft;0.09;0.06;0;0.01;0.17
8401;Surf's Up;Wii;2007;Sports;Ubisoft;0.15;0;0;0.01;0.17
8403;Mega Man Network Transmission;GC;2003;Platform;Capcom;0.13;0.03;0;0;0.17
8405;Pursuit Force;PSP;2005;Racing;Sony Computer Entertainment;0.14;0.01;0;0.02;0.17
8408;Naval Assault: The Killing Tide;X360;2010;Simulation;505 Games;0.08;0.07;0;0.02;0.17
8410;RC Revenge Pro;PS2;2000;Racing;Acclaim Entertainment;0.08;0.06;0;0.02;0.17
8411;Valkyria Chronicles;PS4;2016;Role-Playing;Sega;0.06;0.04;0.05;0.02;0.17
8412;Hellboy: The Science of Evil;PS3;2008;Action;Konami Digital Entertainment;0.13;0.02;0;0.02;0.17
8413;Backyard Wrestling: Don't Try This at Home;XB;2003;Fighting;Eidos Interactive;0.13;0.04;0;0.01;0.17
8414;Zoo Keeper;DS;2004;Puzzle;Ignition Entertainment;0.1;0.01;0.05;0.01;0.17
8415;Gauntlet: Dark Legacy;XB;2002;Action;Midway Games;0.13;0.04;0;0.01;0.17
8418;Lost Kingdoms;GC;2002;Role-Playing;Activision;0.1;0.02;0.04;0;0.17
8420;Blood Bowl;X360;2009;Sports;Focus Home Interactive;0.13;0.03;0;0.01;0.17
8425;Go, Diego, Go! Safari Rescue;DS;2007;Adventure;Take-Two Interactive;0.15;0.01;0;0.01;0.17
8428;Street Fighter Alpha 2;SNES;1996;Fighting;Nintendo;0;0;0.17;0;0.17
8430;Payday 2;XOne;2015;Shooter;505 Games;0.08;0.07;0;0.01;0.17
8431;25 to Life;XB;2006;Shooter;Eidos Interactive;0.12;0.04;0;0.01;0.17
8435;Fracture;PS3;2008;Shooter;LucasArts;0.11;0.04;0;0.02;0.17
8436;Sega Superstars;PS2;2004;Misc;Sega;0.08;0.06;0;0.02;0.17
8437;Midway Arcade Treasures;GC;2003;Misc;Midway Games;0.13;0.03;0;0;0.17
8438;Leisure Suit Larry: Magna Cum Laude;XB;2004;Adventure;Vivendi Games;0.12;0.04;0;0.01;0.17
8440;Klonoa;Wii;2008;Platform;Namco Bandai Games;0.11;0.02;0.03;0.01;0.17
8441;Splatterhouse;PS3;N/A;Action;Namco Bandai Games;0.13;0.02;0;0.02;0.17
